strScientificName_x,strUC,strCommonName,state_name,intHa,strScientificName_y,N_birds,N_points,Det_Rate
Spiza americana,bdickx,Dickcissel,West Virginia,74512.89,,,,
Streptopelia decaocto,beucdx,Eurasian Collared-dove,West Virginia,8702.73,,,,
Dumetella carolinensis,bgrcax,Gray Catbird,West Virginia,933744.06,Dumetella carolinensis,1000.0,686.0,21.6
Ammodramus henslowii,bhespx,Henslow's Sparrow,West Virginia,7660.08,,,,
Wilsonia citrina,bhowax,Hooded Warbler,West Virginia,4540682.52,Setophaga citrina,698.0,522.0,16.4
Oporornis formosus,bkewax,Kentucky Warbler,West Virginia,2810306.61,Geothlypis formosa,194.0,172.0,5.4
Accipiter gentilis,bnogox,Northern Goshawk,West Virginia,1485995.49,,,,
Aegolius acadicus,bnswox,Northern Saw-whet Owl,West Virginia,3844921.14,,,,
Falco peregrinus,bpefax,Peregrine Falcon,West Virginia,46388.61,,,,
Pinicola enucleator,bpigrx,Pine Grosbeak,West Virginia,19101.96,,,,
Aythya americana,bredhx,Redhead,West Virginia,873.27,,,,
Aythya collaris,brndux,Ring-necked Duck,West Virginia,954.18,,,,
Columba livia,bropix,Rock Pigeon,West Virginia,546233.67,Columba livia,179.0,30.0,0.9
Agelaius phoeniceus,brwblx,Red-winged Blackbird,West Virginia,957717.09,Agelaius phoeniceus,2038.0,570.0,17.9
Limnothlypis swainsonii,bswwax,Swainson's Warbler,West Virginia,1141734.15,,,,
Tachycineta bicolor,btresx,Tree Swallow,West Virginia,1804972.5,Tachycineta bicolor,234.0,130.0,4.1
Icteria virens,bybchx,Yellow-breasted Chat,West Virginia,1272819.78,Icteria virens,298.0,258.0,8.1
Vireo flavifrons,bytvix,Yellow-throated Vireo,West Virginia,871674.75,Vireo flavifrons,330.0,305.0,9.6
Dendroica dominica,bytwax,Yellow-throated Warbler,West Virginia,43512.93,Setophaga dominica,296.0,276.0,8.7
Empidonax virescens,bacflx,Acadian Flycatcher,West Virginia,4568792.67,Empidonax virescens,810.0,637.0,20.0
Corvus brachyrhynchos,bamcrx,American Crow,West Virginia,2736310.5,Corvus brachyrhynchos,2755.0,1530.0,48.1
Haliaeetus leucocephalus,bbaeax,Bald Eagle,West Virginia,19142.82,,,,
Riparia riparia,bbansx,Bank Swallow,West Virginia,400276.44,,,,
Coccyzus erythropthalmus,bbbcux,Black-billed Cuckoo,West Virginia,329447.43,Coccyzus erythropthalmus,62.0,55.0,1.7
Certhia americana,bbrcrx,Brown Creeper,West Virginia,5137166.61,,,,
Bucephala albeola,bbuffx,Bufflehead,West Virginia,45562.05,,,,
Poecile carolinensis,bcachx,Carolina Chickadee,West Virginia,3978718.83,Poecile carolinensis,450.0,328.0,10.3
Thryothorus ludovicianus,bcarwx,Carolina Wren,West Virginia,4590385.56,Thryothorus ludovicianus,1209.0,913.0,28.7
Bucephala clangula,bcogox,Common Goldeneye,West Virginia,10165.23,,,,
Corvus corax,bcorax,Common Raven,West Virginia,2938864.14,Corvus corax,206.0,154.0,4.8
Picoides pubescens,bdowox,Downy Woodpecker,West Virginia,5142898.08,Picoides pubescens,385.0,352.0,11.1
Megascops asio,beasox,Eastern Screech-owl,West Virginia,5659328.88,,,,
Regulus satrapa,bgckix,Golden-crowned Kinglet,West Virginia,5167483.38,Regulus satrapa,61.0,57.0,1.8
Carduelis hornemanni,bhorex,Hoary Redpoll,West Virginia,700331.76,,,,
Chondestes grammacus,blaspx,Lark Sparrow,West Virginia,34328.16,,,,
Colinus virginianus,bnobox,Northern Bobwhite,West Virginia,832633.92,,,,
Icterus spurius,bororx,Orchard Oriole,West Virginia,1014899.76,Icterus spurius,123.0,111.0,3.5
Dendroica discolor,bprawx,Prairie Warbler,West Virginia,1976253.84,Setophaga discolor,89.0,69.0,2.2
Melanerpes carolinus,brbwox,Red-bellied Woodpecker,West Virginia,4699839.6,Melanerpes carolinus,727.0,625.0,19.6
Loxia curvirostra,brecrx,Red Crossbill,West Virginia,1801987.11,,,,
Buteo lagopus,brlhax,Rough-legged Hawk,West Virginia,1007153.37,,,,
Phasianus colchicus,brnepx,Ring-necked Pheasant,West Virginia,164598.12,,,,
Asio flammeus,bseowx,Short-eared Owl,West Virginia,1049761.26,,,,
Bubo scandiacus,bsnowx,Snowy Owl,West Virginia,156197.88,,,,
Porzana carolina,bsorax,Sora,West Virginia,16664.85,,,,
Melospiza melodia,bsospx,Song Sparrow,West Virginia,1269678.6,Melospiza melodia,1529.0,995.0,31.3
Cathartes aura,btuvux,Turkey Vulture,West Virginia,5299161.66,Cathartes aura,196.0,75.0,2.4
Aix sponsa,bwodux,Wood Duck,West Virginia,248536.98,Aix sponsa,97.0,40.0,1.3
Sphyrapicus varius,bybsax,Yellow-bellied Sapsucker,West Virginia,1130638.68,Sphyrapicus varius,38.0,30.0,0.9
Empidonax alnorum,balflx,Alder Flycatcher,West Virginia,465765.66,Empidonax alnorum,62.0,42.0,1.3
Setophaga ruticilla,bamrex,American Redstart,West Virginia,4750705.26,Setophaga ruticilla,740.0,544.0,17.1
Hirundo rustica,bbarsx,Barn Swallow,West Virginia,1198910.52,Hirundo rustica,667.0,239.0,7.5
Nycticorax nycticorax,bbcnhx,Black-crowned Night-heron,West Virginia,7736.94,,,,
Coragyps atratus,bblvux,Black Vulture,West Virginia,645326.64,,,,
Toxostoma rufum,bbrthx,Brown Thrasher,West Virginia,449151.48,Toxostoma rufum,336.0,283.0,8.9
Dendroica caerulescens,bbtbwx,Black-throated Blue Warbler,West Virginia,4568191.2,Setophaga caerulescens,139.0,111.0,3.5
Dendroica virens,bbtnwx,Black-throated Green Warbler,West Virginia,3940488.27,Setophaga virens,569.0,390.0,12.3
Buteo platypterus,bbwhax,Broad-winged Hawk,West Virginia,2334976.74,Buteo platypterus,33.0,31.0,1.0
Dendroica cerulea,bcerwx,Cerulean Warbler,West Virginia,4235275.71,Setophaga cerulea,273.0,220.0,6.9
Anas penelope,beuwix,Eurasian Wigeon,West Virginia,1189.26,,,,
Anas strepera,bgadwx,Gadwall,West Virginia,25439.85,,,,
Aythya marila,bgrscx,Greater Scaup,West Virginia,680.04,,,,
Vermivora chrysoptera,bgwwax,Golden-winged Warbler,West Virginia,5648445.27,Vermivora chrysoptera,50.0,37.0,1.2
Eremophila alpestris,bholax,Horned Lark,West Virginia,863204.85,,,,
Dendroica magnolia,bmawax,Magnolia Warbler,West Virginia,280560.51,Setophaga magnolia,186.0,131.0,4.1
Zenaida macroura,bmodox,Mourning Dove,West Virginia,2616774.48,Zenaida macroura,1101.0,765.0,24.0
Vermivora ruficapilla,bnawax,Nashville Warbler,West Virginia,227105.37,,,,
Mimus polyglottos,bnomox,Northern Mockingbird,West Virginia,1628469.45,Mimus polyglottos,280.0,217.0,6.8
Podilymbus podiceps,bpbgrx,Pied-billed Grebe,West Virginia,151260.48,,,,
Buteo lineatus,brshax,Red-shouldered Hawk,West Virginia,2854295.46,Buteo lineatus,83.0,73.0,2.3
Catharus fuscescens,bveerx,Veery,West Virginia,441684.54,Catharus fuscescens,299.0,204.0,6.4
Pooecetes gramineus,bvespx,Vesper Sparrow,West Virginia,475415.82,,,,
Dendroica coronata,byrwax,Yellow-rumped Warbler,West Virginia,1740842.82,,,,
Scolopax minor,bamwox,American Woodcock,West Virginia,2828272.41,,,,
Spizella arborea,batspx,American Tree Sparrow,West Virginia,1179375.39,,,,
Mniotilta varia,bbawwx,Black-and-White Warbler,West Virginia,4418881.47,Mniotilta varia,405.0,356.0,11.2
Vermivora pinus,bbwwax,Blue-winged Warbler,West Virginia,215230.32,Vermivora cyanoptera,221.0,189.0,5.9
Bubulcus ibis,bcaegx,Cattle Egret,West Virginia,1079016.39,,,,
Wilsonia canadensis,bcawax,Canada Warbler,West Virginia,396381.69,,,,
Chordeiles minor,bconix,Common Nighthawk,West Virginia,6264655.47,,,,
Sialia sialis,beablx,Eastern Bluebird,West Virginia,2012973.39,Sialia sialis,438.0,311.0,9.8
Sturnella magna,beamex,Eastern Meadowlark,West Virginia,883630.08,Sturnella magna,345.0,202.0,6.4
Ardea herodias,bgbhex,Great Blue Heron,West Virginia,594569.97,Ardea herodias,43.0,35.0,1.1
Carpodacus mexicanus,bhofix,House Finch,West Virginia,972929.34,Haemorhous mexicanus,103.0,47.0,1.5
Passer domesticus,bhospx,House Sparrow,West Virginia,953945.37,Passer domesticus,314.0,97.0,3.0
Charadrius vociferus,bkillx,Killdeer,West Virginia,932249.34,Charadrius vociferus,127.0,90.0,2.8
Seiurus motacilla,blowax,Louisiana Waterthrush,West Virginia,89335.44,Parkesia motacilla,216.0,191.0,6.0
Oporornis philadelphia,bmowax,Mourning Warbler,West Virginia,22931.73,,,,
Anas acuta,bnopix,Northern Pintail,West Virginia,3507.93,,,,
Stelgidopteryx serripennis,bnrwsx,Northern Rough-winged Swallow,West Virginia,1225943.1,Stelgidopteryx serripennis,166.0,78.0,2.5
Seiurus aurocapilla,bovenx,Ovenbird,West Virginia,3879354.51,Seiurus aurocapilla,1392.0,936.0,29.4
Carduelis pinus,bpisix,Pine Siskin,West Virginia,5397580.08,,,,
Dryocopus pileatus,bpiwox,Pileated Woodpecker,West Virginia,5073679.62,Dryocopus pileatus,704.0,594.0,18.7
Archilochus colubris,brthux,Ruby-throated Hummingbird,West Virginia,5347565.28,Archilochus colubris,130.0,117.0,3.7
Plectrophenax nivalis,bsnbux,Snow Bunting,West Virginia,4467.96,,,,
Baeolophus bicolor,btutix,Tufted Titmouse,West Virginia,5449565.97,Baeolophus bicolor,1515.0,1133.0,35.6
Rallus limicola,bvirax,Virginia Rail,West Virginia,10972.71,,,,
Vireo gilvus,bwavix,Warbling Vireo,West Virginia,4686021.36,Vireo gilvus,46.0,34.0,1.1
Meleagris gallopavo,bwitux,Wild Turkey,West Virginia,5925568.86,Meleagris gallopavo,113.0,89.0,2.8
Troglodytes troglodytes,bwiwrx,Winter Wren,West Virginia,4909355.55,Troglodytes hiemalis,56.0,51.0,1.6
Coccyzus americanus,bybcux,Yellow-billed Cuckoo,West Virginia,2048339.7,Coccyzus americanus,369.0,315.0,9.9
Turdus migratorius,bamrox,American Robin,West Virginia,6098464.08,Turdus migratorius,2614.0,1373.0,43.2
Strix varia,bbadox,Barred Owl,West Virginia,3927748.32,Strix varia,40.0,37.0,1.2
Tyto alba,bbanox,Barn Owl,West Virginia,141250.86,,,,
Cyanocitta cristata,bbljax,Blue Jay,West Virginia,5172278.4,Cyanocitta cristata,1134.0,801.0,25.2
Dolichonyx oryzivorus,bbobox,Bobolink,West Virginia,97994.16,Dolichonyx oryzivorus,125.0,43.0,1.4
Chaetura pelagica,bchswx,Chimney Swift,West Virginia,6158449.71,Chaetura pelagica,328.0,159.0,5.0
Accipiter cooperii,bcohax,Cooper's Hawk,West Virginia,5158733.49,,,,
Zonotrichia leucophrys,bewcsx,White-crowned Sparrow,West Virginia,1834891.65,,,,
Corvus ossifragus,bficrx,Fish Crow,West Virginia,120542.58,,,,
Spizella pusilla,bfispx,Field Sparrow,West Virginia,1037134.44,Spizella pusilla,1116.0,648.0,20.4
Bubo virginianus,bghowx,Great Horned Owl,West Virginia,6020121.24,,,,
Butorides virescens,bgrhex,Green Heron,West Virginia,303048.27,Butorides virescens,46.0,36.0,1.1
Ammodramus savannarum,bgrspx,Grasshopper Sparrow,West Virginia,375212.7,Ammodramus savannarum,95.0,60.0,1.9
Anas crecca,bgwtex,Green-winged Teal,West Virginia,26.82,,,,
Anas platyrhynchos,bmallx,Mallard,West Virginia,592507.08,Anas platyrhynchos,85.0,37.0,1.2
Cistothorus palustris,bmawrx,Marsh Wren,West Virginia,26677.62,,,,
Colaptes auratus,bnoflx,Northern Flicker,West Virginia,4909660.29,Colaptes auratus,462.0,401.0,12.6
Lanius excubitor,bnshrx,Northern Shrike,West Virginia,427751.1,,,,
Carpodacus purpureus,bpufix,Purple Finch,West Virginia,1413723.42,,,,
Pheucticus ludovicianus,brbgrx,Rose-breasted Grosbeak,West Virginia,2934551.07,Pheucticus ludovicianus,182.0,153.0,4.8
Piranga olivacea,bsctax,Scarlet Tanager,West Virginia,3670599.42,Piranga olivacea,1549.0,1205.0,37.9
Melospiza georgiana,bswspx,Swamp Sparrow,West Virginia,75040.47,Melospiza georgiana,73.0,46.0,1.4
Zonotrichia albicollis,bwtspx,White-throated Sparrow,West Virginia,5423426.46,,,,
Carduelis tristis,bamgox,American Goldfinch,West Virginia,1632671.37,Spinus tristis,1328.0,756.0,23.8
Polioptila caerulea,bbggnx,Blue-gray Gnatcatcher,West Virginia,4882356.36,Polioptila caerulea,391.0,328.0,10.3
Vireo solitarius,bbhvix,Blue-headed Vireo,West Virginia,2237941.89,Vireo solitarius,490.0,367.0,11.5
Dendroica fusca,bblbwx,Blackburnian Warbler,West Virginia,2258887.59,Setophaga fusca,126.0,103.0,3.2
Anas discors,bbwtex,Blue-winged Teal,West Virginia,33558.84,,,,
Tyrannus tyrannus,beakix,Eastern Kingbird,West Virginia,2558729.79,Tyrannus tyrannus,121.0,100.0,3.1
Sayornis phoebe,beaphx,Eastern Phoebe,West Virginia,32705.82,Sayornis phoebe,526.0,453.0,14.2
Pipilo erythrophthalmus,beatox,Eastern Towhee,West Virginia,2255239.89,Pipilo erythrophthalmus,2044.0,1364.0,42.9
Sturnus vulgaris,beustx,European Starling,West Virginia,1447186.68,Sturnus vulgaris,2601.0,417.0,13.1
Passerella iliaca,bfospx,Fox Sparrow,West Virginia,2476161.27,,,,
Passerina cyanea,binbux,Indigo Bunting,West Virginia,765289.98,Passerina cyanea,2181.0,1455.0,45.7
Calcarius lapponicus,blalox,Lapland Longspur,West Virginia,1076582.16,,,,
Ixobrychus exilis,blebix,Least Bittern,West Virginia,64859.49,,,,
Empidonax minimus,bleflx,Least Flycatcher,West Virginia,458984.43,Empidonax minimus,85.0,68.0,2.1
Asio otus,bleowx,Long-eared Owl,West Virginia,2973977.01,,,,
Lanius ludovicianus,bloshx,Loggerhead Shrike,West Virginia,35316.09,,,,
Cardinalis cardinalis,bnocax,Northern Cardinal,West Virginia,180056.07,Cardinalis cardinalis,1740.0,1203.0,37.8
Circus cyaneus,bnohax,Northern Harrier,West Virginia,467132.67,,,,
Parula americana,bnopax,Northern Parula,West Virginia,286991.28,Setophaga americana,231.0,205.0,6.4
Contopus cooperi,bosflx,Olive-sided Flycatcher,West Virginia,641097.45,,,,
Dendroica pinus,bpiwax,Pine Warbler,West Virginia,175105.8,Setophaga pinus,45.0,34.0,1.1
Buteo jamaicensis,brthax,Red-tailed Hawk,West Virginia,5227627.32,Buteo jamaicensis,62.0,56.0,1.8
Piranga rubra,bsutax,Summer Tanager,West Virginia,2726474.58,Piranga rubra,76.0,67.0,2.1
Catharus ustulatus,bswthx,Swainson's Thrush,West Virginia,334295.46,,,,
Sitta carolinensis,bwbnux,White-breasted Nuthatch,West Virginia,4868838.09,Sitta carolinensis,736.0,606.0,19.1
Helmitheros vermivorum,bwewax,Worm-eating Warbler,West Virginia,4624566.84,Helmitheros vermivorum,149.0,125.0,3.9
Anas rubripes,babdux,American Black Duck,West Virginia,144851.85,,,,
Botaurus lentiginosus,bambix,American Bittern,West Virginia,92506.14,,,,
Fulica americana,bamcox,American Coot,West Virginia,4085.55,,,,
Megaceryle alcyon,bbekix,Belted Kingfisher,West Virginia,1125053.91,Megaceryle alcyon,86.0,78.0,2.5
Molothrus ater,bbhcox,Brown-headed Cowbird,West Virginia,2184559.2,Molothrus ater,446.0,322.0,10.1
Branta canadensis,bcangx,Canada Goose,West Virginia,1262066.13,Branta canadensis,591.0,78.0,2.5
Bombycilla cedrorum,bcedwx,Cedar Waxwing,West Virginia,3088388.34,Bombycilla cedrorum,1182.0,477.0,15.0
Spizella passerina,bchspx,Chipping Sparrow,West Virginia,1791808.38,Spizella passerina,838.0,596.0,18.7
Caprimulgus carolinensis,bcwwix,Chuck-will's-widow,West Virginia,188641.35,,,,
Junco hyemalis,bdejux,Dark-eyed Junco,West Virginia,1879312.14,Junco hyemalis,248.0,172.0,5.4
Contopus virens,beawpx,Eastern Wood-pewee,West Virginia,3260946.06,Contopus virens,693.0,583.0,18.3
Coccothraustes vespertinus,bevgrx,Evening Grosbeak,West Virginia,2443316.13,,,,
Myiarchus crinitus,bgcflx,Great Crested Flycatcher,West Virginia,2912577.84,Myiarchus crinitus,301.0,260.0,8.2
Aquila chrysaetos,bgoeax,Golden Eagle,West Virginia,20035.62,,,,
Picoides villosus,bhawox,Hairy Woodpecker,West Virginia,4895726.94,Picoides villosus,146.0,135.0,4.2
Catharus guttatus,bhethx,Hermit Thrush,West Virginia,2977563.69,Catharus guttatus,157.0,116.0,3.6
Aythya affinis,blescx,Lesser Scaup,West Virginia,864.09,,,,
Passerculus sandwichensis,bsavsx,Savannah Sparrow,West Virginia,1009307.16,Passerculus sandwichensis,67.0,45.0,1.4
Accipiter striatus,bsshax,Sharp-shinned Hawk,West Virginia,6165425.52,,,,
Bartramia longicauda,bupsax,Upland Sandpiper,West Virginia,88442.28,,,,
Vireo griseus,bwevix,White-eyed Vireo,West Virginia,1113081.75,Vireo griseus,260.0,216.0,6.8
Empidonax traillii,bwiflx,Willow Flycatcher,West Virginia,115219.44,Empidonax traillii,97.0,73.0,2.3
Caprimulgus vociferus,bwpwix,Whip-poor-will,West Virginia,3535841.97,,,,
Loxia leucoptera,bwwcrx,White-winged Crossbill,West Virginia,1322059.14,,,,
Dendroica petechia,bywarx,Yellow Warbler,West Virginia,472930.47,Setophaga petechia,434.0,355.0,11.2
